station,adjacent_station
http://www.wikidata.org/entity/Q10276020,http://www.wikidata.org/entity/Q5692522
http://www.wikidata.org/entity/Q10276020,http://www.wikidata.org/entity/Q18475809
http://www.wikidata.org/entity/Q107232685,http://www.wikidata.org/entity/Q4961886
http://www.wikidata.org/entity/Q107232685,http://www.wikidata.org/entity/Q7159656
http://www.wikidata.org/entity/Q111926727,http://www.wikidata.org/entity/Q5563882
http://www.wikidata.org/entity/Q111926727,http://www.wikidata.org/entity/Q6489291
http://www.wikidata.org/entity/Q15243160,http://www.wikidata.org/entity/Q7314773
http://www.wikidata.org/entity/Q15243160,http://www.wikidata.org/entity/Q7665407
http://www.wikidata.org/entity/Q15243160,http://www.wikidata.org/entity/Q7809083
http://www.wikidata.org/entity/Q15265202,http://www.wikidata.org/entity/Q6758759
http://www.wikidata.org/entity/Q18475274,http://www.wikidata.org/entity/Q18475809
http://www.wikidata.org/entity/Q18475274,http://www.wikidata.org/entity/Q18475862
http://www.wikidata.org/entity/Q18475332,http://www.wikidata.org/entity/Q19707353
http://www.wikidata.org/entity/Q18475332,http://www.wikidata.org/entity/Q48855691
http://www.wikidata.org/entity/Q18475809,http://www.wikidata.org/entity/Q10276020
http://www.wikidata.org/entity/Q18475809,http://www.wikidata.org/entity/Q18475274
http://www.wikidata.org/entity/Q18475862,http://www.wikidata.org/entity/Q18475274
http://www.wikidata.org/entity/Q18475862,http://www.wikidata.org/entity/Q18475867
http://www.wikidata.org/entity/Q18475867,http://www.wikidata.org/entity/Q18475862
http://www.wikidata.org/entity/Q18475867,http://www.wikidata.org/entity/Q19707230
http://www.wikidata.org/entity/Q19707230,http://www.wikidata.org/entity/Q18475867
http://www.wikidata.org/entity/Q19707230,http://www.wikidata.org/entity/Q48855691
http://www.wikidata.org/entity/Q19707353,http://www.wikidata.org/entity/Q18475332
http://www.wikidata.org/entity/Q19707353,http://www.wikidata.org/entity/Q65173157
http://www.wikidata.org/entity/Q2883491,http://www.wikidata.org/entity/Q4684268
http://www.wikidata.org/entity/Q2883491,http://www.wikidata.org/entity/Q4944343
http://www.wikidata.org/entity/Q2925324,http://www.wikidata.org/entity/Q3071513
http://www.wikidata.org/entity/Q2925324,http://www.wikidata.org/entity/Q5244701
http://www.wikidata.org/entity/Q2994646,http://www.wikidata.org/entity/Q3071513
http://www.wikidata.org/entity/Q2994646,http://www.wikidata.org/entity/Q5137302
http://www.wikidata.org/entity/Q3065820,http://www.wikidata.org/entity/Q5137302
http://www.wikidata.org/entity/Q3065820,http://www.wikidata.org/entity/Q5244825
http://www.wikidata.org/entity/Q3071513,http://www.wikidata.org/entity/Q2925324
http://www.wikidata.org/entity/Q3071513,http://www.wikidata.org/entity/Q2994646
http://www.wikidata.org/entity/Q3132156,http://www.wikidata.org/entity/Q4764340
http://www.wikidata.org/entity/Q3132156,http://www.wikidata.org/entity/Q6541063
http://www.wikidata.org/entity/Q3132156,http://www.wikidata.org/entity/Q7159656
http://www.wikidata.org/entity/Q3132156,http://www.wikidata.org/entity/Q7665407
http://www.wikidata.org/entity/Q3309828,http://www.wikidata.org/entity/Q5244856
http://www.wikidata.org/entity/Q4684268,http://www.wikidata.org/entity/Q2883491
