station,adjacent_station
http://www.wikidata.org/entity/Q10275567,http://www.wikidata.org/entity/Q10275758
http://www.wikidata.org/entity/Q10275567,http://www.wikidata.org/entity/Q10275835
http://www.wikidata.org/entity/Q10275570,http://www.wikidata.org/entity/Q10275595
http://www.wikidata.org/entity/Q10275570,http://www.wikidata.org/entity/Q10276133
http://www.wikidata.org/entity/Q10275571,http://www.wikidata.org/entity/Q10275620
http://www.wikidata.org/entity/Q10275571,http://www.wikidata.org/entity/Q10275883
http://www.wikidata.org/entity/Q10275586,http://www.wikidata.org/entity/Q10275904
http://www.wikidata.org/entity/Q10275586,http://www.wikidata.org/entity/Q17599941
http://www.wikidata.org/entity/Q10275595,http://www.wikidata.org/entity/Q10275570
http://www.wikidata.org/entity/Q10275595,http://www.wikidata.org/entity/Q10275888
http://www.wikidata.org/entity/Q10275601,http://www.wikidata.org/entity/Q10276222
http://www.wikidata.org/entity/Q10275601,http://www.wikidata.org/entity/Q65073403
http://www.wikidata.org/entity/Q10275612,http://www.wikidata.org/entity/Q10275905
http://www.wikidata.org/entity/Q10275612,http://www.wikidata.org/entity/Q10275990
http://www.wikidata.org/entity/Q10275620,http://www.wikidata.org/entity/Q10275571
http://www.wikidata.org/entity/Q10275620,http://www.wikidata.org/entity/Q10276060
http://www.wikidata.org/entity/Q10275620,http://www.wikidata.org/entity/Q10276155
http://www.wikidata.org/entity/Q10275627,http://www.wikidata.org/entity/Q10275973
http://www.wikidata.org/entity/Q10275627,http://www.wikidata.org/entity/Q10276068
http://www.wikidata.org/entity/Q10275630,http://www.wikidata.org/entity/Q10275824
http://www.wikidata.org/entity/Q10275630,http://www.wikidata.org/entity/Q10276133
http://www.wikidata.org/entity/Q10275638,http://www.wikidata.org/entity/Q10276070
http://www.wikidata.org/entity/Q10275638,http://www.wikidata.org/entity/Q10276226
http://www.wikidata.org/entity/Q10275649,http://www.wikidata.org/entity/Q10275851
http://www.wikidata.org/entity/Q10275649,http://www.wikidata.org/entity/Q10276222
http://www.wikidata.org/entity/Q10275651,http://www.wikidata.org/entity/Q10276226
http://www.wikidata.org/entity/Q10275651,http://www.wikidata.org/entity/Q85793391
http://www.wikidata.org/entity/Q10275659,http://www.wikidata.org/entity/Q10276021
http://www.wikidata.org/entity/Q10275659,http://www.wikidata.org/entity/Q10276083
http://www.wikidata.org/entity/Q10275661,http://www.wikidata.org/entity/Q10276169
http://www.wikidata.org/entity/Q10275661,http://www.wikidata.org/entity/Q10276198
http://www.wikidata.org/entity/Q10275692,http://www.wikidata.org/entity/Q10275869
http://www.wikidata.org/entity/Q10275692,http://www.wikidata.org/entity/Q10275927
http://www.wikidata.org/entity/Q10275693,http://www.wikidata.org/entity/Q10275901
http://www.wikidata.org/entity/Q10275693,http://www.wikidata.org/entity/Q5170696
http://www.wikidata.org/entity/Q10275731,http://www.wikidata.org/entity/Q10275883
http://www.wikidata.org/entity/Q10275731,http://www.wikidata.org/entity/Q10275891
http://www.wikidata.org/entity/Q10275732,http://www.wikidata.org/entity/Q10275882
http://www.wikidata.org/entity/Q10275732,http://www.wikidata.org/entity/Q10276117
http://www.wikidata.org/entity/Q10275733,http://www.wikidata.org/entity/Q10276198
http://www.wikidata.org/entity/Q10275733,http://www.wikidata.org/entity/Q18475595
http://www.wikidata.org/entity/Q10275733,http://www.wikidata.org/entity/Q7688505
http://www.wikidata.org/entity/Q10275745,http://www.wikidata.org/entity/Q10275990
http://www.wikidata.org/entity/Q10275758,http://www.wikidata.org/entity/Q10275567
http://www.wikidata.org/entity/Q10275758,http://www.wikidata.org/entity/Q10276060
http://www.wikidata.org/entity/Q10275824,http://www.wikidata.org/entity/Q10275630
http://www.wikidata.org/entity/Q10275824,http://www.wikidata.org/entity/Q10276083
http://www.wikidata.org/entity/Q10275832,http://www.wikidata.org/entity/Q17599941
http://www.wikidata.org/entity/Q10275832,http://www.wikidata.org/entity/Q18475676
http://www.wikidata.org/entity/Q10275834,http://www.wikidata.org/entity/Q109476499
http://www.wikidata.org/entity/Q10275834,http://www.wikidata.org/entity/Q65073403
http://www.wikidata.org/entity/Q10275835,http://www.wikidata.org/entity/Q10275567
http://www.wikidata.org/entity/Q10275835,http://www.wikidata.org/entity/Q10275901
http://www.wikidata.org/entity/Q10275838,http://www.wikidata.org/entity/Q10275973
http://www.wikidata.org/entity/Q10275838,http://www.wikidata.org/entity/Q10276094
http://www.wikidata.org/entity/Q10275851,http://www.wikidata.org/entity/Q10275649
http://www.wikidata.org/entity/Q10275851,http://www.wikidata.org/entity/Q85793391
http://www.wikidata.org/entity/Q10275869,http://www.wikidata.org/entity/Q10275692
http://www.wikidata.org/entity/Q10275869,http://www.wikidata.org/entity/Q10276070
http://www.wikidata.org/entity/Q10275874,http://www.wikidata.org/entity/Q10275993
http://www.wikidata.org/entity/Q10275874,http://www.wikidata.org/entity/Q7680683
http://www.wikidata.org/entity/Q10275880,http://www.wikidata.org/entity/Q10275890
