station,interchange_station
http://www.wikidata.org/entity/Q107232685,http://www.wikidata.org/entity/Q9295692
http://www.wikidata.org/entity/Q111926727,http://www.wikidata.org/entity/Q5244808
http://www.wikidata.org/entity/Q15243160,http://www.wikidata.org/entity/Q2983699
http://www.wikidata.org/entity/Q15265202,http://www.wikidata.org/entity/Q3293864
http://www.wikidata.org/entity/Q2983699,http://www.wikidata.org/entity/Q15243160
http://www.wikidata.org/entity/Q2994646,http://www.wikidata.org/entity/Q8779085
http://www.wikidata.org/entity/Q3293864,http://www.wikidata.org/entity/Q15265202
http://www.wikidata.org/entity/Q5244808,http://www.wikidata.org/entity/Q111926727
http://www.wikidata.org/entity/Q7195875,http://www.wikidata.org/entity/Q85793391
http://www.wikidata.org/entity/Q7680683,http://www.wikidata.org/entity/Q85805078
http://www.wikidata.org/entity/Q85793391,http://www.wikidata.org/entity/Q7195875
http://www.wikidata.org/entity/Q85805078,http://www.wikidata.org/entity/Q7680683
http://www.wikidata.org/entity/Q8779085,http://www.wikidata.org/entity/Q2994646
http://www.wikidata.org/entity/Q9295692,http://www.wikidata.org/entity/Q107232685
