station,connecting_line,connecting_lineLabel,coordinate_location,stationLabel
http://www.wikidata.org/entity/Q65073403,http://www.wikidata.org/entity/Q5245848,Linha 9 do Trem Metropolitano de São Paulo,Point(-46.70269 -23.622486),Morumbi
http://www.wikidata.org/entity/Q85805078,http://www.wikidata.org/entity/Q588499,Linha 2 do Metrô de São Paulo,Point(-46.588055555 -23.594444444),Tamanduateí
http://www.wikidata.org/entity/Q5908613,http://www.wikidata.org/entity/Q3308465,Linha 5 do Metrô de São Paulo,Point(-46.65237 -23.59782),Estação AACD-Servidor
http://www.wikidata.org/entity/Q4684268,http://www.wikidata.org/entity/Q3308465,Linha 5 do Metrô de São Paulo,Point(-46.704 -23.650194444),Estação Adolfo Pinheiro
http://www.wikidata.org/entity/Q18475239,http://www.wikidata.org/entity/Q6553067,Linha 13 do Trem Metropolitano de São Paulo,Point(-46.4937 -23.4325),Estação Aeroporto–Guarulhos
http://www.wikidata.org/entity/Q2883491,http://www.wikidata.org/entity/Q3308465,Linha 5 do Metrô de São Paulo,Point(-46.699722222 -23.641944444),Estação Alto da Boa Vista
http://www.wikidata.org/entity/Q4736839,http://www.wikidata.org/entity/Q588499,Linha 2 do Metrô de São Paulo,Point(-46.612608 -23.602178),Estação Alto do Ipiranga
http://www.wikidata.org/entity/Q10344485,http://www.wikidata.org/entity/Q3296720,Linha 8 do Trem Metropolitano de São Paulo,Point(-46.9863 -23.5311),Estação Amador Bueno
http://www.wikidata.org/entity/Q4750505,http://www.wikidata.org/entity/Q3362568,Linha 1 do Metrô de São Paulo,Point(-46.63847 -23.58125),Estação Ana Rosa
http://www.wikidata.org/entity/Q4750505,http://www.wikidata.org/entity/Q588499,Linha 2 do Metrô de São Paulo,Point(-46.63847 -23.58125),Estação Ana Rosa
http://www.wikidata.org/entity/Q4764340,http://www.wikidata.org/entity/Q3294315,Linha 3 do Metrô de São Paulo,Point(-46.639345 -23.547917),Estação Anhangabaú
http://www.wikidata.org/entity/Q10275567,http://www.wikidata.org/entity/Q5245830,Linha 11 do Trem Metropolitano de São Paulo,Point(-46.383686944 -23.554358888),Estação Antônio Gianetti Neto
http://www.wikidata.org/entity/Q10275570,http://www.wikidata.org/entity/Q3296720,Linha 8 do Trem Metropolitano de São Paulo,Point(-46.85872 -23.51688),Estação Antônio João
http://www.wikidata.org/entity/Q10275571,http://www.wikidata.org/entity/Q5245789,Linha 12 do Trem Metropolitano de São Paulo,Point(-46.339034 -23.499661),Estação Aracaré
http://www.wikidata.org/entity/Q5244779,http://www.wikidata.org/entity/Q3362568,Linha 1 do Metrô de São Paulo,Point(-46.629163 -23.525392),Estação Armênia
http://www.wikidata.org/entity/Q4801591,http://www.wikidata.org/entity/Q3294315,Linha 3 do Metrô de São Paulo,Point(-46.484265 -23.54055),Estação Artur Alvim
http://www.wikidata.org/entity/Q10275586,http://www.wikidata.org/entity/Q5245848,Linha 9 do Trem Metropolitano de São Paulo,Point(-46.6883 -23.7061),Estação Autódromo
http://www.wikidata.org/entity/Q8778904,http://www.wikidata.org/entity/Q3296728,Linha 7 do Trem Metropolitano de São Paulo,Point(-46.7233 -23.3096),Estação Baltazar Fidélis
http://www.wikidata.org/entity/Q10275595,http://www.wikidata.org/entity/Q3296720,Linha 8 do Trem Metropolitano de São Paulo,Point(-46.87508 -23.51259),Estação Barueri
http://www.wikidata.org/entity/Q4884965,http://www.wikidata.org/entity/Q3294315,Linha 3 do Metrô de São Paulo,Point(-46.58952 -23.543216),Estação Belém
http://www.wikidata.org/entity/Q10275601,http://www.wikidata.org/entity/Q5245848,Linha 9 do Trem Metropolitano de São Paulo,Point(-46.69678 -23.60469),Estação Berrini
