station,connecting_line,connecting_lineLabel,coordinate_location,station_code,stationLabel
http://www.wikidata.org/entity/Q85805078,http://www.wikidata.org/entity/Q588499,Linha 2 do Metrô de São Paulo,Point(-46.588055555 -23.594444444),TTI,Tamanduateí
http://www.wikidata.org/entity/Q5908613,http://www.wikidata.org/entity/Q3308465,Linha 5 do Metrô de São Paulo,Point(-46.65237 -23.59782),SER,Estação AACD-Servidor
http://www.wikidata.org/entity/Q4684268,http://www.wikidata.org/entity/Q3308465,Linha 5 do Metrô de São Paulo,Point(-46.704 -23.650194444),ADP,Estação Adolfo Pinheiro
http://www.wikidata.org/entity/Q2883491,http://www.wikidata.org/entity/Q3308465,Linha 5 do Metrô de São Paulo,Point(-46.699722222 -23.641944444),ABA,Estação Alto da Boa Vista
http://www.wikidata.org/entity/Q4736839,http://www.wikidata.org/entity/Q588499,Linha 2 do Metrô de São Paulo,Point(-46.612608 -23.602178),AIP,Estação Alto do Ipiranga
http://www.wikidata.org/entity/Q4750505,http://www.wikidata.org/entity/Q588499,Linha 2 do Metrô de São Paulo,Point(-46.63847 -23.58125),ANR,Estação Ana Rosa
http://www.wikidata.org/entity/Q4750505,http://www.wikidata.org/entity/Q3362568,Linha 1 do Metrô de São Paulo,Point(-46.63847 -23.58125),ANR,Estação Ana Rosa
http://www.wikidata.org/entity/Q4764340,http://www.wikidata.org/entity/Q3294315,Linha 3 do Metrô de São Paulo,Point(-46.639345 -23.547917),GBU,Estação Anhangabaú
http://www.wikidata.org/entity/Q5244779,http://www.wikidata.org/entity/Q3362568,Linha 1 do Metrô de São Paulo,Point(-46.629163 -23.525392),PPQ,Estação Armênia
http://www.wikidata.org/entity/Q4801591,http://www.wikidata.org/entity/Q3294315,Linha 3 do Metrô de São Paulo,Point(-46.484265 -23.54055),ART,Estação Artur Alvim
http://www.wikidata.org/entity/Q4884965,http://www.wikidata.org/entity/Q3294315,Linha 3 do Metrô de São Paulo,Point(-46.58952 -23.543216),BEL,Estação Belém
http://www.wikidata.org/entity/Q4944343,http://www.wikidata.org/entity/Q3308465,Linha 5 do Metrô de São Paulo,Point(-46.69288 -23.63346),BGT,Estação Borba Gato
http://www.wikidata.org/entity/Q4961886,http://www.wikidata.org/entity/Q3294315,Linha 3 do Metrô de São Paulo,Point(-46.60715 -23.54636),BRE,Estação Bresser-Mooca
http://www.wikidata.org/entity/Q2925324,http://www.wikidata.org/entity/Q588499,Linha 2 do Metrô de São Paulo,Point(-46.648035 -23.568098),BGD,Estação Brigadeiro
http://www.wikidata.org/entity/Q4974689,http://www.wikidata.org/entity/Q3308465,Linha 5 do Metrô de São Paulo,Point(-46.688305555 -23.627111111),BCB,Estação Brooklin
http://www.wikidata.org/entity/Q107232685,http://www.wikidata.org/entity/Q3294315,Linha 3 do Metrô de São Paulo,Point(-46.615881 -23.547826),BAS,Estação Brás
http://www.wikidata.org/entity/Q5002360,http://www.wikidata.org/entity/Q3308457,Linha 4 do Metrô de São Paulo,Point(-46.70814 -23.57182),BUT,Estação Butantã
http://www.wikidata.org/entity/Q18475274,http://www.wikidata.org/entity/Q5430612,Linha 15 do Metrô de São Paulo,Point(-46.537678 -23.595354),CAD,Estação Camilo Haddad
